mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
12.876332998275757,0.11480359726335942,1.8947624683380127,0.019040652091281123,0.1,1.0,linear,"{'C': 0.1, 'gamma': 1, 'kernel': 'linear'}",0.39215686274509803,0.39215686274509803,0.39037433155080214,0.39107142857142857,0.39107142857142857,0.39136618283677105,0.0006939565638016944,22
13.032097148895264,0.5032283985094119,2.2983548164367678,0.026387740559879497,0.1,1.0,rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.39215686274509803,0.39215686274509803,0.39037433155080214,0.39107142857142857,0.39107142857142857,0.39136618283677105,0.0006939565638016944,22
11.621912670135497,0.0886062039019752,2.058825206756592,0.04797692472589047,0.1,0.1,linear,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear'}",0.39215686274509803,0.39215686274509803,0.39037433155080214,0.39107142857142857,0.39107142857142857,0.39136618283677105,0.0006939565638016944,22
11.731396293640136,0.16113815188787187,2.262215566635132,0.05688435992493033,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.39215686274509803,0.39215686274509803,0.39037433155080214,0.39107142857142857,0.39107142857142857,0.39136618283677105,0.0006939565638016944,22
11.751271486282349,0.0897335646711587,1.9828455924987793,0.030398512182982305,0.1,0.01,linear,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'linear'}",0.39215686274509803,0.39215686274509803,0.39037433155080214,0.39107142857142857,0.39107142857142857,0.39136618283677105,0.0006939565638016944,22
10.647139644622802,0.12847594168498958,2.21923713684082,0.032567597417507796,0.1,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.39215686274509803,0.39215686274509803,0.39037433155080214,0.39107142857142857,0.39107142857142857,0.39136618283677105,0.0006939565638016944,22
11.830636310577393,0.1171816873303446,1.9845627784729003,0.05158636863669938,0.1,0.001,linear,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'linear'}",0.39215686274509803,0.39215686274509803,0.39037433155080214,0.39107142857142857,0.39107142857142857,0.39136618283677105,0.0006939565638016944,22
9.25201997756958,0.08948041257526633,2.2991122245788573,0.05649436468897466,0.1,0.001,rbf,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.39215686274509803,0.39215686274509803,0.39037433155080214,0.39107142857142857,0.39107142857142857,0.39136618283677105,0.0006939565638016944,22
12.11484785079956,0.12391343756076169,1.8143694400787354,0.04309606122580665,1.0,1.0,linear,"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",0.8966131907308378,0.8805704099821747,0.8698752228163993,0.8946428571428572,0.8696428571428572,0.8822689075630252,0.01161704396691468,2
13.506296157836914,1.5335112917760307,2.1902413368225098,0.024499836847289517,1.0,1.0,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.7807486631016043,0.7611408199643493,0.7611408199643493,0.7803571428571429,0.7660714285714286,0.769891774891775,0.00888987534830869,18
15.055556106567384,0.15229225774941238,1.8845031261444092,0.060168697898749915,1.0,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.8966131907308378,0.8805704099821747,0.8698752228163993,0.8946428571428572,0.8696428571428572,0.8822689075630252,0.01161704396691468,2
12.120047473907471,1.3711137828912674,2.1905591011047365,0.050643691580406366,1.0,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.4385026737967914,0.45811051693404636,0.45454545454545453,0.44285714285714284,0.44821428571428573,0.4484460147695442,0.007221703192133115,21
11.650856876373291,0.2053255065618158,1.8469593048095703,0.04471598705180771,1.0,0.01,linear,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.8966131907308378,0.8805704099821747,0.8698752228163993,0.8946428571428572,0.8696428571428572,0.8822689075630252,0.01161704396691468,2
11.401572847366333,0.09354971044296288,2.269495725631714,0.08852587815980116,1.0,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.39215686274509803,0.39215686274509803,0.39037433155080214,0.39107142857142857,0.39107142857142857,0.39136618283677105,0.0006939565638016944,22
11.801223373413086,0.22069965065970543,1.9564189434051513,0.06918104064830803,1.0,0.001,linear,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",0.8966131907308378,0.8805704099821747,0.8698752228163993,0.8946428571428572,0.8696428571428572,0.8822689075630252,0.01161704396691468,2
10.092659139633179,0.15563350920532326,2.1845022678375243,0.09826675596439313,1.0,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.39215686274509803,0.39215686274509803,0.39037433155080214,0.39107142857142857,0.39107142857142857,0.39136618283677105,0.0006939565638016944,22
12.520453357696534,0.10050164723726594,2.0238054275512694,0.03096210308968858,10.0,1.0,linear,"{'C': 10, 'gamma': 1, 'kernel': 'linear'}",0.8894830659536542,0.8680926916221033,0.8484848484848485,0.8875,0.8464285714285714,0.8679978354978355,0.01837361347341388,8
12.769900131225587,0.08106608375217658,2.41012282371521,0.10782912917699031,10.0,1.0,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.7967914438502673,0.7950089126559715,0.7789661319073083,0.8017857142857143,0.7875,0.7920104405398523,0.007973742735459774,16
12.406285429000855,0.15285298110864579,1.9243698596954346,0.05341991582713108,10.0,0.1,linear,"{'C': 10, 'gamma': 0.1, 'kernel': 'linear'}",0.8894830659536542,0.8680926916221033,0.8484848484848485,0.8875,0.8464285714285714,0.8679978354978355,0.01837361347341388,8
12.340642595291138,0.13917128530734194,2.2142515659332274,0.06664934436549395,10.0,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.8966131907308378,0.8805704099821747,0.8716577540106952,0.8910714285714286,0.8714285714285714,0.8822682709447417,0.010161074696375227,6
12.21728253364563,0.20781639963409135,1.9329813480377198,0.041149735837524105,10.0,0.01,linear,"{'C': 10, 'gamma': 0.01, 'kernel': 'linear'}",0.8894830659536542,0.8680926916221033,0.8484848484848485,0.8875,0.8464285714285714,0.8679978354978355,0.01837361347341388,8
12.172767448425294,0.08683727228508606,2.3479590892791746,0.04193983638063272,10.0,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.5080213903743316,0.4919786096256685,0.49554367201426025,0.5071428571428571,0.5089285714285714,0.5023230201171378,0.0071035477021916,20
12.308790445327759,0.3342824133343773,2.4558127403259276,0.4074989634637587,10.0,0.001,linear,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",0.8894830659536542,0.8680926916221033,0.8484848484848485,0.8875,0.8464285714285714,0.8679978354978355,0.01837361347341388,8
11.709424352645874,0.19863873977352223,3.335931587219238,0.15849794527867153,10.0,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.39215686274509803,0.39215686274509803,0.39037433155080214,0.39107142857142857,0.39107142857142857,0.39136618283677105,0.0006939565638016944,22
14.249024200439454,0.23201047488584656,1.7573365688323974,0.034146146384498234,100.0,1.0,linear,"{'C': 100, 'gamma': 1, 'kernel': 'linear'}",0.8734402852049911,0.8520499108734403,0.8342245989304813,0.8642857142857143,0.8321428571428572,0.8512286732874967,0.016235291050184297,12
13.026201248168945,0.8727068127115661,2.2538454055786135,0.014204773918540563,100.0,1.0,rbf,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.7967914438502673,0.7950089126559715,0.7789661319073083,0.8017857142857143,0.7875,0.7920104405398523,0.007973742735459774,16
11.742173385620116,0.14731694704938014,1.8433949947357178,0.04247529519150005,100.0,0.1,linear,"{'C': 100, 'gamma': 0.1, 'kernel': 'linear'}",0.8734402852049911,0.8520499108734403,0.8342245989304813,0.8642857142857143,0.8321428571428572,0.8512286732874967,0.016235291050184297,12
11.784960794448853,0.12911489740894347,2.1507375717163084,0.049077651546065255,100.0,0.1,rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.8912655971479501,0.8805704099821747,0.8716577540106952,0.8928571428571429,0.8678571428571429,0.8808416093710211,0.010060275196709089,7
11.755321359634399,0.17588089472959526,1.8461142539978028,0.04582979986546582,100.0,0.01,linear,"{'C': 100, 'gamma': 0.01, 'kernel': 'linear'}",0.8734402852049911,0.8520499108734403,0.8342245989304813,0.8642857142857143,0.8321428571428572,0.8512286732874967,0.016235291050184297,12
11.930435371398925,0.09196801027099294,2.157473087310791,0.015034161915670897,100.0,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.8983957219251337,0.8877005347593583,0.8680926916221033,0.8964285714285715,0.8696428571428572,0.8840520753756047,0.012919416446823631,1
11.795931816101074,0.1397562047310107,1.8150062084197998,0.04157991510843616,100.0,0.001,linear,"{'C': 100, 'gamma': 0.001, 'kernel': 'linear'}",0.8734402852049911,0.8520499108734403,0.8342245989304813,0.8642857142857143,0.8321428571428572,0.8512286732874967,0.016235291050184297,12
11.339223766326905,0.08031670966278755,2.141875743865967,0.11540766108562339,100.0,0.001,rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.5133689839572193,0.5026737967914439,0.49910873440285203,0.5125,0.5142857142857142,0.5083874458874458,0.006249138593020274,19
